age,sex,eq5d,se
0,0,1,0
1,0,0.9933888888888889,0
2,0,0.9867777777777778,0
3,0,0.9801666666666666,0
4,0,0.9735555555555555,0
5,0,0.9669444444444445,0
6,0,0.9603333333333334,0
7,0,0.9537222222222222,0
8,0,0.9471111111111111,0
9,0,0.9405,0
10,0,0.9338888888888889,0
11,0,0.9272777777777778,0
12,0,0.9206666666666666,0
13,0,0.9140555555555555,0
14,0,0.9074444444444445,0
15,0,0.9008333333333334,0
16,0,0.8942222222222223,0
17,0,0.8876111111111111,0
18,0,0.881,0.1
19,0,0.881,0.1
20,0,0.881,0.1
21,0,0.881,0.1
22,0,0.881,0.1
23,0,0.881,0.1
24,0,0.881,0.1
25,0,0.892,0.074
26,0,0.892,0.074
27,0,0.892,0.074
28,0,0.892,0.074
29,0,0.892,0.074
30,0,0.892,0.074
31,0,0.892,0.074
32,0,0.892,0.074
33,0,0.892,0.074
34,0,0.892,0.074
35,0,0.876,0.102
36,0,0.876,0.102
37,0,0.876,0.102
38,0,0.876,0.102
39,0,0.876,0.102
40,0,0.876,0.102
41,0,0.876,0.102
42,0,0.876,0.102
43,0,0.876,0.102
44,0,0.876,0.102
45,0,0.861,0.124
46,0,0.861,0.124
47,0,0.861,0.124
48,0,0.861,0.124
49,0,0.861,0.124
50,0,0.861,0.124
51,0,0.861,0.124
52,0,0.861,0.124
53,0,0.861,0.124
54,0,0.861,0.124
55,0,0.851,0.13
56,0,0.851,0.13
57,0,0.851,0.13
58,0,0.851,0.13
59,0,0.851,0.13
60,0,0.851,0.13
61,0,0.851,0.13
62,0,0.851,0.13
63,0,0.851,0.13
64,0,0.851,0.13
65,0,0.864,0.107
66,0,0.864,0.107
67,0,0.864,0.107
68,0,0.864,0.107
69,0,0.864,0.107
70,0,0.864,0.107
71,0,0.864,0.107
72,0,0.864,0.107
73,0,0.864,0.107
74,0,0.864,0.107
75,0,0.864,0.113
76,0,0.864,0.113
77,0,0.864,0.113
78,0,0.864,0.113
79,0,0.864,0.113
80,0,0.864,0.113
81,0,0.864,0.113
82,0,0.864,0.113
83,0,0.864,0.113
84,0,0.864,0.113
85,0,0.864,0.113
86,0,0.864,0.113
87,0,0.864,0.113
88,0,0.864,0.113
89,0,0.864,0.113
90,0,0.864,0.113
91,0,0.864,0.113
92,0,0.864,0.113
93,0,0.864,0.113
94,0,0.864,0.113
95,0,0.864,0.113
96,0,0.864,0.113
97,0,0.864,0.113
98,0,0.864,0.113
99,0,0.864,0.113
100,0,0.864,0.113
101,0,0.864,0.113
102,0,0.864,0.113
103,0,0.864,0.113
104,0,0.864,0.113
105,0,0.864,0.113
106,0,0.864,0.113
107,0,0.864,0.113
108,0,0.864,0.113
109,0,0.864,0.113
110,0,0.864,0.113
111,0,0.864,0.113
0,1,1,0
1,1,0.9930555555555556,0
2,1,0.9861111111111112,0
3,1,0.9791666666666666,0
4,1,0.9722222222222222,0
5,1,0.9652777777777778,0
6,1,0.9583333333333334,0
7,1,0.9513888888888888,0
8,1,0.9444444444444444,0
9,1,0.9375,0
10,1,0.9305555555555556,0
11,1,0.9236111111111112,0
12,1,0.9166666666666666,0
13,1,0.9097222222222222,0
14,1,0.9027777777777778,0
15,1,0.8958333333333334,0
16,1,0.8888888888888888,0
17,1,0.8819444444444444,0
18,1,0.875,0.105
19,1,0.875,0.105
20,1,0.875,0.105
21,1,0.875,0.105
22,1,0.875,0.105
23,1,0.875,0.105
24,1,0.875,0.105
25,1,0.867,0.158
26,1,0.867,0.158
27,1,0.867,0.158
28,1,0.867,0.158
29,1,0.867,0.158
30,1,0.867,0.158
31,1,0.867,0.158
32,1,0.867,0.158
33,1,0.867,0.158
34,1,0.867,0.158
35,1,0.881,0.081
36,1,0.881,0.081
37,1,0.881,0.081
38,1,0.881,0.081
39,1,0.881,0.081
40,1,0.881,0.081
41,1,0.881,0.081
42,1,0.881,0.081
43,1,0.881,0.081
44,1,0.881,0.081
45,1,0.848,0.136
46,1,0.848,0.136
47,1,0.848,0.136
48,1,0.848,0.136
49,1,0.848,0.136
50,1,0.848,0.136
51,1,0.848,0.136
52,1,0.848,0.136
53,1,0.848,0.136
54,1,0.848,0.136
55,1,0.824,0.151
56,1,0.824,0.151
57,1,0.824,0.151
58,1,0.824,0.151
59,1,0.824,0.151
60,1,0.824,0.151
61,1,0.824,0.151
62,1,0.824,0.151
63,1,0.824,0.151
64,1,0.824,0.151
65,1,0.871,0.121
66,1,0.871,0.121
67,1,0.871,0.121
68,1,0.871,0.121
69,1,0.871,0.121
70,1,0.871,0.121
71,1,0.871,0.121
72,1,0.871,0.121
73,1,0.871,0.121
74,1,0.871,0.121
75,1,0.857,0.106
76,1,0.857,0.106
77,1,0.857,0.106
78,1,0.857,0.106
79,1,0.857,0.106
80,1,0.857,0.106
81,1,0.857,0.106
82,1,0.857,0.106
83,1,0.857,0.106
84,1,0.857,0.106
85,1,0.857,0.106
86,1,0.857,0.106
87,1,0.857,0.106
88,1,0.857,0.106
89,1,0.857,0.106
90,1,0.857,0.106
91,1,0.857,0.106
92,1,0.857,0.106
93,1,0.857,0.106
94,1,0.857,0.106
95,1,0.857,0.106
96,1,0.857,0.106
97,1,0.857,0.106
98,1,0.857,0.106
99,1,0.857,0.106
100,1,0.857,0.106
101,1,0.857,0.106
102,1,0.857,0.106
103,1,0.857,0.106
104,1,0.857,0.106
105,1,0.857,0.106
106,1,0.857,0.106
107,1,0.857,0.106
108,1,0.857,0.106
109,1,0.857,0.106
110,1,0.857,0.106
111,1,0.857,0.106
